time,pressure,temp,depth
2023-12-14 00:16:38.207040,1013.6,24.08,0.01
2023-12-14 00:16:38.317070,1013.5,24.08,0.01
2023-12-14 00:16:38.609869,1013.9,24.08,0.01
2023-12-14 00:16:38.903583,1014.2,24.08,0.01
2023-12-14 00:16:39.195191,1014.0,24.08,0.01
2023-12-14 00:16:39.487760,1013.4,24.08,0.0
2023-12-14 00:16:39.779984,1014.2,24.08,0.01
2023-12-14 00:16:40.072714,1014.0,24.08,0.01
2023-12-14 00:16:40.364239,1014.1,24.08,0.01
2023-12-14 00:16:40.657007,1013.8,24.08,0.01
2023-12-14 00:16:40.949739,1013.8,24.08,0.01
2023-12-14 00:16:41.241997,1013.8,24.08,0.01
2023-12-14 00:16:41.534251,1014.0,24.08,0.01
2023-12-14 00:16:41.827832,1013.4,24.08,0.0
2023-12-14 00:16:42.119121,1013.8,24.08,0.01
2023-12-14 00:16:42.412014,1013.6,24.08,0.01
2023-12-14 00:16:42.704324,1013.8,24.08,0.01
2023-12-14 00:16:42.996772,1013.5,24.08,0.01
2023-12-14 00:16:43.298342,1013.6,24.08,0.01
2023-12-14 00:16:43.582874,1013.8,24.08,0.01
2023-12-14 00:16:43.874624,1014.2,24.08,0.01
2023-12-14 00:16:44.167907,1013.6,24.08,0.01
2023-12-14 00:16:44.459367,1013.5,24.07,0.01
2023-12-14 00:16:44.752552,1013.6,24.08,0.01
2023-12-14 00:16:45.044545,1013.6,24.07,0.01
2023-12-14 00:16:45.337339,1013.5,24.08,0.01
2023-12-14 00:16:45.629557,1013.4,24.07,0.0
2023-12-14 00:16:45.922165,1013.9,24.08,0.01
2023-12-14 00:16:46.214171,1013.5,24.08,0.01
2023-12-14 00:16:46.506928,1013.4,24.08,0.0
2023-12-14 00:16:46.799511,1013.3,24.08,0.0
2023-12-14 00:16:47.092693,1013.5,24.08,0.01
2023-12-14 00:16:47.384206,1013.6,24.08,0.01
2023-12-14 00:16:47.677327,1013.6,24.08,0.01
2023-12-14 00:16:47.969257,1014.2,24.08,0.01
2023-12-14 00:16:48.262551,1116.8,24.09,1.06
2023-12-14 00:16:48.554380,1176.5,24.09,1.67
2023-12-14 00:16:48.846899,1226.2,24.12,2.18
2023-12-14 00:16:49.139212,1350.1,24.19,3.45
2023-12-14 00:16:49.432664,1439.7,24.26,4.36
2023-12-14 00:16:49.724316,1453.3,24.34,4.5
2023-12-14 00:16:50.017570,1467.6,24.42,4.65
2023-12-14 00:16:50.309450,1475.3,24.49,4.73
2023-12-14 00:16:50.602384,1465.1,24.56,4.62
2023-12-14 00:16:50.894969,1461.4,24.63,4.59
2023-12-14 00:16:51.187278,1458.0,24.68,4.55
2023-12-14 00:16:51.479652,1401.2,24.74,3.97
2023-12-14 00:16:51.772115,1192.0,24.78,1.83
2023-12-14 00:16:52.064646,1041.0,24.82,0.29
2023-12-14 00:16:52.356865,966.9,24.86,-0.47
2023-12-14 00:16:52.649281,944.2,24.91,-0.7
2023-12-14 00:16:52.941946,1014.1,24.96,0.01
2023-12-14 00:16:53.234540,1013.9,25.0,0.01
2023-12-14 00:16:53.527499,1013.7,25.03,0.01
2023-12-14 00:16:53.828732,1013.6,25.04,0.01
2023-12-14 00:16:54.113090,1013.6,25.05,0.01
2023-12-14 00:16:54.404756,1013.7,25.05,0.01
2023-12-14 00:16:54.696959,1013.5,25.06,0.01
2023-12-14 00:16:54.989866,1014.1,25.06,0.01
2023-12-14 00:16:55.281835,1013.8,25.06,0.01
2023-12-14 00:16:55.574599,1013.8,25.06,0.01
2023-12-14 00:16:55.867610,1014.1,25.06,0.01
2023-12-14 00:16:56.159452,1013.4,25.07,0.0
2023-12-14 00:16:56.452040,1013.7,25.07,0.01
2023-12-14 00:16:56.744598,1014.0,25.08,0.01
2023-12-14 00:16:57.037295,1013.4,25.09,0.0
2023-12-14 00:16:57.329762,1014.1,25.09,0.01
2023-12-14 00:16:57.622039,1014.1,25.1,0.01
2023-12-14 00:16:57.914531,1014.0,25.1,0.01
2023-12-14 00:16:58.207155,1014.2,25.11,0.01
